Location,Title,Company,Url
"Monterrey, Nuevo León, Mexico",Software Engineer for AI Training Data (Swift),G2i Inc.,https://mx.linkedin.com/jobs/view/software-engineer-for-ai-training-data-swift-at-g2i-inc-3982515301?position=8&pageNum=2&refId=9KTjnORtomC%2FckoBb2xdgw%3D%3D&trackingId=D176nkmQ%2F1UUiPv8NUt4BA%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Python/Django Developer,Jules,https://mx.linkedin.com/jobs/view/python-django-developer-at-jules-3980701585?position=9&pageNum=2&refId=9KTjnORtomC%2FckoBb2xdgw%3D%3D&trackingId=D33BJ4KAqjyObWkWxOSXYA%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Software Engineer for AI Training Data (JavaScript/Swift),G2i Inc.,https://mx.linkedin.com/jobs/view/software-engineer-for-ai-training-data-javascript-swift-at-g2i-inc-3984110668?position=10&pageNum=2&refId=9KTjnORtomC%2FckoBb2xdgw%3D%3D&trackingId=8n0BjFuhKbJWoxb34RFcnA%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico","Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical,https://mx.linkedin.com/jobs/view/python-and-kubernetes-software-engineer-data-ai-ml-analytics-at-canonical-3959709229?position=1&pageNum=3&refId=y%2B%2FZRgHgcJtYRZnBuH%2BIgg%3D%3D&trackingId=DhlWJnchVT9keYmMV0eg4A%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Analista de Datos,Tecnológico de Monterrey,https://mx.linkedin.com/jobs/view/analista-de-datos-at-tecnol%C3%B3gico-de-monterrey-4001889591?position=2&pageNum=3&refId=y%2B%2FZRgHgcJtYRZnBuH%2BIgg%3D%3D&trackingId=FcCNXeqZN7xwPAgdcIQ6Gg%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico","Junior Software Developer (Monterrey, Mexico) On-site",Ellipse Solutions,https://mx.linkedin.com/jobs/view/junior-software-developer-monterrey-mexico-on-site-at-ellipse-solutions-3986710277?position=3&pageNum=3&refId=y%2B%2FZRgHgcJtYRZnBuH%2BIgg%3D%3D&trackingId=AFI5ocMWfL3EnWRZdixPow%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Python Developer Specialist,Accenture México,https://mx.linkedin.com/jobs/view/python-developer-specialist-at-accenture-m%C3%A9xico-3990350248?position=4&pageNum=3&refId=y%2B%2FZRgHgcJtYRZnBuH%2BIgg%3D%3D&trackingId=vJSdQfpinYADPVdA0wBUpg%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Solutions Engineer,Enroute,https://mx.linkedin.com/jobs/view/solutions-engineer-at-enroute-3970160137?position=5&pageNum=3&refId=y%2B%2FZRgHgcJtYRZnBuH%2BIgg%3D%3D&trackingId=S1aYg1C8FQc5zdVb%2FdsVCw%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Software Engineer (Mexico),MSIGHTS,https://mx.linkedin.com/jobs/view/software-engineer-mexico-at-msights-3787751427?position=6&pageNum=3&refId=y%2B%2FZRgHgcJtYRZnBuH%2BIgg%3D%3D&trackingId=8GhHbrGyW6sKZv%2FVXJ%2F4eg%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Software Engineer - Python and K8s,Canonical,https://mx.linkedin.com/jobs/view/software-engineer-python-and-k8s-at-canonical-3966998179?position=7&pageNum=3&refId=y%2B%2FZRgHgcJtYRZnBuH%2BIgg%3D%3D&trackingId=Z1UdvSPzfHsesdHG7caL7w%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Field Applications Engineer,Henkel,https://mx.linkedin.com/jobs/view/field-applications-engineer-at-henkel-3984134503?position=8&pageNum=3&refId=y%2B%2FZRgHgcJtYRZnBuH%2BIgg%3D%3D&trackingId=Jc6T2g2yRm4kQuZ9wNuRdA%3D%3D&trk=public_jobs_jserp-result_search-card
"Centro de San Pedro Garza García, Nuevo León, Mexico",Programador y Operador Radio UDEM,Universidad de Monterrey,https://mx.linkedin.com/jobs/view/programador-y-operador-radio-udem-at-universidad-de-monterrey-3992717255?position=9&pageNum=3&refId=y%2B%2FZRgHgcJtYRZnBuH%2BIgg%3D%3D&trackingId=%2F5ABX07OyqRUfmqpBe2%2Bww%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Software Developer -,AMI Automation,https://mx.linkedin.com/jobs/view/software-developer-at-ami-automation-3990453518?position=10&pageNum=3&refId=y%2B%2FZRgHgcJtYRZnBuH%2BIgg%3D%3D&trackingId=0SetcXrhaxriu7mAic7VxQ%3D%3D&trk=public_jobs_jserp-result_search-card
